energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
708.9,2.33822,1.94387,1.44478,1.31018,1.23886,691.35,1.12731,1.14324,1.25058,1.20157,1.224,540.4,1.25889,1.41856,1.65808,1.60871,1.57435,291.35,2.50607,2.52688,2.53782,2.53562,2.5832
709,2.34456,2.046,1.54133,1.3,1.21386,691.5,1.11469,1.10233,1.27254,1.25452,1.27113,540.6,1.25833,1.39381,1.60538,1.596,1.53576,291.5,2.4888,2.54896,2.60529,2.59231,2.6903
709.1,2.39433,1.98453,1.49933,1.32041,1.23943,691.8,1.15269,1.16033,1.26431,1.27481,1.277,540.8,1.23494,1.44504,1.60908,1.57514,1.54447,291.8,2.53577,2.48636,2.60757,2.50131,2.5519
709.2,2.38256,1.98293,1.54822,1.28618,1.26586,692.1,1.19462,1.1219,1.26719,1.27333,1.26147,541,1.24239,1.46233,1.67669,1.60614,1.58894,292.1,2.64007,2.4234,2.60782,2.60331,2.5046
709.3,2.46044,1.9524,1.46767,1.30724,1.25214,692.4,1.15219,1.12286,1.24377,1.28624,1.2582,541.2,1.20194,1.43156,1.62469,1.60071,1.58206,292.4,2.6691,2.29628,2.56071,2.568,2.5286
709.4,2.45589,1.9328,1.49044,1.31053,1.223,692.7,1.12112,1.17905,1.27908,1.30776,1.2756,541.4,1.28294,1.48337,1.70962,1.629,1.58094,292.7,2.63843,2.34712,2.54271,2.58292,2.53205
709.5,2.34767,1.94,1.54656,1.30747,1.25671,693,1.1595,1.1071,1.29373,1.24333,1.26633,541.6,1.26,1.49933,1.67138,1.61486,1.57288,293,2.56817,2.41592,2.51193,2.56131,2.49075
709.6,2.36978,2.14027,1.62722,1.34047,1.273,693.3,1.19263,1.12276,1.28642,1.2681,1.3322,541.8,1.29111,1.50781,1.63977,1.58557,1.56994,293.3,2.58967,2.33896,2.47186,2.53938,2.52705
709.7,2.37356,2.05887,1.59067,1.26665,1.25929,693.6,1.11494,1.1119,1.24577,1.2221,1.2274,542,1.26394,1.47344,1.67092,1.59114,1.57535,293.6,2.5972,2.35044,2.44911,2.44746,2.43075
709.8,2.33278,2.05187,1.60033,1.27988,1.23657,693.9,1.14244,1.13462,1.24096,1.2879,1.22753,542.2,1.20139,1.45167,1.63169,1.64686,1.56971,293.9,2.45103,2.35432,2.413,2.41685,2.42745
