station:,LASCON_PC_local
process:,12222
workpiece code:,-
date:,11.10.2021
start:,10:08:43
duration:,56.271 s
PI:,456.53 %s
scriptno.:,-
error:,-

time,ATemp,STemp,CtrlOut,CtrlNr
15.200000,413.8,415.0,8.2,1
15.220000,414.5,415.0,8.3,1
15.240000,415.8,415.0,8.2,1
15.260000,416.8,415.0,8.4,1
15.280000,414.6,415.0,8.3,1
15.300000,414.2,415.0,8.2,1
15.320000,415.6,415.0,8.3,1
15.340000,412.0,415.0,8.3,1
15.360000,414.2,415.0,8.5,1
15.380000,417.5,415.0,8.2,1
15.400000,416.8,415.0,8.0,1
15.420000,413.3,415.0,8.3,1
15.440000,413.6,415.0,8.5,1
15.460000,414.8,415.0,8.2,1
15.480000,415.7,415.0,8.3,1
15.500000,416.2,415.0,8.4,1
15.520000,414.7,415.0,8.5,1
15.540000,415.2,415.0,8.2,1
15.560000,415.2,415.0,8.3,1
15.580000,413.8,415.0,8.2,1
15.600000,415.4,415.0,8.4,1
15.620000,414.9,415.0,8.3,1
15.640000,417.2,415.0,8.2,1
15.660000,413.9,415.0,8.3,1
15.680000,414.0,415.0,8.5,1
15.700000,415.6,415.0,8.3,1
15.720000,417.7,415.0,8.3,1
15.740000,414.4,415.0,7.9,1
15.760000,413.1,415.0,8.4,1
15.780000,413.8,415.0,8.4,1
15.800000,416.7,415.0,8.4,1
15.820000,412.9,415.0,8.2,1
15.840000,416.4,415.0,8.0,1
15.860000,415.8,415.0,8.1,1
15.880000,413.1,415.0,8.5,1
15.900000,415.2,415.0,8.1,1
15.920000,413.3,415.0,8.3,1
15.940000,413.2,415.0,8.1,1
15.960000,413.5,415.0,8.4,1
15.980000,414.6,415.0,8.2,1
16.000000,417.8,415.0,8.1,1
16.020000,413.0,415.0,8.3,1
16.040000,415.3,415.0,8.2,1
16.060000,413.9,415.0,8.3,1
16.080000,416.6,415.0,8.2,1
16.100000,413.2,415.0,8.1,1
16.120000,412.8,415.0,8.1,1
16.140000,415.2,415.0,8.2,1
16.160000,416.6,415.0,8.4,1
16.180000,415.2,415.0,8.1,1
16.200000,415.5,415.0,8.0,1
16.220000,415.4,415.0,8.2,1
16.240000,414.6,415.0,8.3,1
16.260000,415.6,415.0,8.3,1
16.280000,412.7,415.0,8.4,1
